,filters,regularization,loss,accuracy
7,256,False,0.17456988990306854,0.9361000061035156
5,128,False,0.18935203552246094,0.9299666881561279
3,64,False,0.20625799894332886,0.9262333512306213
1,32,False,0.22617822885513306,0.9185166954994202
2,64,True,0.41632160544395447,0.8811666369438171
0,32,True,0.42116406559944153,0.8812500238418579
4,128,True,0.42643898725509644,0.880816638469696
6,256,True,0.42897307872772217,0.8795333504676819
